words	freq
SIG+Toast-rack*	905
Toast-rack*	550
SIG+PADR-HTH	294
DUF1700-alpha-helical+TM(s)	210
ABC-ATPase	190
SIG+TM(s)	158
SIGMA-HTH	156
PspC+TM(s)	105
TraJ-RHH	98
Phage_holin_4_2	95
REC+LYTTR	79
ZNR+DUF2089-HTH	44
ABC-ATPase(s)	43
RNA-Helicase+A18	40
SIG+TM+HISKIN-LiaS-like	37
DUF1700-alpha-helical+Toast-rack*	35
LiaI-LiaF-TM+Toast-rack*	35
ADH_N+ADH_zinc_N	33
GNTR-HTH	31
ZnF+TM+HEAT_2	29
SIG+TM+HAMP+HISKIN	26
TM+Toast-rack*	21
LexA-HTH+Peptidase_S24	20
SIG+LTD+IG+Calcineurin	19
adh_short	18
DUF2089-HTH	17
Aldo_ket_red	15
Thy1	15
LiaI-LiaF-TM	14
PSE	14
HTH	13
MacB_PCD+FtsX+TM+MacB_PCD+FtsX	13
PspA	13
zf-HC2+TM	13
Cob_adeno_trans	11
LiaI-LiaF-TM(s)+Toast-rack*	11
SIG+Beta-lactamase	11
SIG+TM(s)+ABC-ATPase	11
Glu-tRNAGln	10
p450	10
Amidase	9
DnaB+DnaB_C	9
G	9
Acetyltransf_7	8
Amidohydro_1	8
MacB_PCD+FtsX	8
PspC+Toast-rack*	8
SIG+Bactofilin+TM(s)	8
SIG+HTH_42	8
ENOYCOADEHYD	7
LACI-HTH+PBPI	7
MODE-HTH+PBPII	7
SIG+TM+BPD_transp_1	7
SIG+TM+HAMP+HISKIN-LiaS-like	7
BirA-HTH	6
DUF1707-SHOCT-bihelical+Toast-rack*	6
Dus	6
PRK	6
SIG+Aminotran_1_2	6
SIG+TM(s)+Toast-rack*	6
SIG+YibE_F	6
Smr	6
Aldedh	5
BPL_LplA_LipB+Lip_prot_lig_C	5
CN_hydrolase+NAD_synthase	5
GreA_GreB_N+GreA_GreB	5
MerR-HTH	5
TM(s)+LiaI-LiaF-TM(s)+Toast-rack*	5
TM+LiaI-LiaF-TM	5
Abhydrolase_1	4
Acetyltransf_3	4
Aminotran_3	4
BBOX+TM(s)+LiaI-LiaF-TM	4
Cation_efflux+ZT_dimer	4
DcuC	4
DUF362	4
EamA(s)	4
ETF+ETF_alpha	4
Isochorismatase	4
MFS_1+TM(s)	4
Peptidase_M24	4
Peptidase_M3_N+Peptidase_M3	4
PIG-L	4
SIG+BLBD	4
SIG+LiaI-LiaF-TM	4
SIG+PDZ_2(s)	4
SIG+TM(s)+BPD_transp_1+TM	4
SIG+Toast-rack(s)*	4
SNO	4
SOR_SNZ+ThiG	4
THF_DHG_CYH+THF_DHG_CYH_C	4
AAA+AAA_assoc_2+MgsA_C	3
Acetate_kinase	3
Aldose_epim	3
AraC-HTH(s)	3
Band_7_1+DUF4339	3
Cluster539_2clades	3
Cupin_2	3
Cyclase	3
DEAD+Helicase_C+DEAD_assoc	3
GATase_5	3
HTH_24+ROK	3
HTH_3	3
NAD_Gly3P_dh_N+NAD_Gly3P_dh_C	3
NMO	3
NUDIX	3
Penicillinase_R	3
PolyA_pol+PolyA_pol_RNAbd+HD+tRNA_NucTran2_2	3
PurS	3
REC+NtrC-AAA+FIS-HTH	3
Ribosomal_L31	3
Ribosomal_L9_N+Ribosomal_L9_C	3
S-AdoMet_synt_N+S-AdoMet_synt_M+S-AdoMet_synt_C	3
SIG+Acyltransferase	3
SIG+CitMHS+TM(s)	3
SIG+DHO_dh	3
SIG+DUF1576+TM+DUF1576	3
SIG+FecCD	3
SIG+PBP_like_2	3
SIG+Ribosomal_S18	3
SufE	3
T2SSE	3
WhiA_N+LAGLIDADG_WhiA+HTH_WhiA	3
YbjQ_1	3
4HBT	2
AA_permease_2	2
Acyl-CoA_dh_N+Acyl-CoA_dh_M+Acyl-CoA_dh_1	2
Adenine_glyco	2
AIRS+AIRS_C+AIRS+AIRS_C	2
AlaDh_PNT_N+AlaDh_PNT_C	2
Aminotran_5	2
AMP_N+Peptidase_M24	2
AP_endonuc_2	2
Arginase	2
Asp_Glu_race	2
BCCT	2
CstA+CstA_5TM+TM	2
CTP_synth_N+GATase	2
DAGK_cat	2
DNA_pol3_beta+DNA_pol3_beta_2+DNA_pol3_beta_3	2
DNA_topoisoIV+DNA_gyraseA_C(s)	2
DUF45	2
DUF463	2
DUF4870	2
DUF520	2
ETF	2
EVE	2
FAA_hydrolase	2
FAD_binding_4+FAD-oxidase_C	2
FAD_binding_6+NAD_binding_1+Fer2	2
Fe-ADH	2
Fer2_3+Fer4_8	2
Flavodoxin_2	2
GidB	2
Glyco_hydro_1	2
Glyco_hydro_36N+Melibiase+Glyco_hydro_36C	2
Glyco_tran_WecB	2
Glyoxalase	2
GTP-bdg_N+GTP-bdg_M+MMR_HSR1	2
GTP_EFTU+GTP_EFTU_D2+RF3_C	2
H	2
HAD_2	2
HATPase_c+DNA_gyraseB+Toprim+DNA_gyraseB_C	2
His_Phos_1	2
HIT	2
Lactamase_B_3	2
MarR	2
Methyltransf_25	2
MFS_1+TM	2
MMR_HSR1+YchF-GTPase_C	2
Na_H_Exchanger+TrkA_N	2
NDK	2
NMN_transporter	2
OsmC	2
PadR	2
Peptidase_M32	2
PGM_PMM_I+PGM_PMM_II+PGM_PMM_III+PGM_PMM_IV	2
Pirin+Pirin_C	2
PseudoU_synth_1(s)	2
PTPS	2
Radical_SAM	2
Radical_SAM+Radical_SAM_C	2
