words	OnlyInRawFreq	AllFreq	MissingRows	TotalRows
Classical-AAA	1432	1432	1432	7144
MIT	1432	1432	1432	5539
TM	644	10633	575	3858
DUF4178	605	605	488	3621
SHOCT-like	576	1082	395	3617
DUF2089-HTH	390	390	390	2560
SIG	335	3616	338	2443
ZNR	249	265	336	2072
ZnR	200	200	283	1848
AAA-ATPase	188	190	256	1432
Beta-Propeller	182	182	188	1432
Psp-AA	153	155	182	1081
HAMP	58	58	153	1065
HISKIN	56	329	107	488
Toast-rack	47	7292	58	425
ZNR-inactive	34	34	56	401
SAM	18	18	35	390
MA	16	16	34	329
FilH	15	15	17	299
Beta-Roll	14	18	12	190
Bactofilin	10	10	11	182
Betapropeller	10	10	10	155
SH3	10	10	10	107
PspC	9	3991	10	58
LiaI-LiaF-TM	8	2075	8	34
Na	8	8	8	17
CADHERIN	7	7	7	14
DUF1700-alpha-helical	7	2443	7	14
CASPASE	6	14	6	13
DUF5320	6	6	6	12
CACHE	5	5	6	10
CarboxypepD-reg-IG	5	5	6	10
MED15	5	6	5	10
MED2	5	6	4	10
35exo	4	4	4	10
EP1	4	7	4	9
IG	4	6	3	8
LINK	4	4	3	7
REase	4	4	3	6
TSRP	4	4	3	6
AMP-binding	3	3	3	6
AMP-binding_C	3	3	3	6
BetaPropeller	3	3	3	6
Condensation	3	3	3	5
CR-Kinase	3	3	3	5
DUF2345	3	10	3	5
HTH	3	9	3	5
Phytase-like	3	3	3	4
Pkinase	3	5	3	4
PP-binding	3	3	2	4
TMM	3	3	2	3
Tox-HopH1	3	3	2	3
VgrG	3	5	2	3
VWA	3	3	2	3
ANK	2	2	2	3
ANTHRAXPAG-N	2	2	2	3
ASCH	2	2	2	3
ASH-IG	2	2	2	3
BACTERIALFRINGE	2	4	2	3
Beta-helix	2	2	2	3
C3RHD	2	2	2	2
Calx-beta	2	2	2	2
DUF1707-SHOCT-bihelical	2	1068	2	2
DUF637	2	9	2	2
FHA	2	13	2	2
Hydantoinase_B	2	2	2	2
IES1	2	2	2	2
Microvir_H	2	2	2	2
"NA"	2	4	2	2
OmpA-beta-barrel	2	2	2	2
PspA	2	2564	2	2
PTX	2	2	1	2
SBP_bac_10	2	2	1	2
Snf7	2	1848	1	2
Tox-DUF4347-Caspase	2	2	1	2
TPR	2	2	1	2
WD40	2	2	1	2
7TMR-DISM	1	1	1	2
ABhydrolase	1	6	1	1
BBOX	1	3	1	1
C58	1	3	1	1
CALCOCO1	1	1	1	1
CD20	1	1	1	1
CheW	1	1	1	1
CLECTIN	1	1	1	1
ClpABC-AAA	1	1	1	1
ClpABN-AAA	1	1	1	1
Concanavalin-like	1	1	1	1
Copper-bind	1	1	1	1
DDRP-omega	1	1	1	1
DHH	1	1	1	1
DUF1043	1	1	1	1
DUF3046	1	425	1	1
DUF572	1	1	1	1
EFHAND	1	1	1	1
ENOYCOADEHYD	1	1	1	1
Exonuc_VII_S	1	1	1	1
FHIPEP-SIG	1	1	1	1
FN3	1	1	1	1
FTSK	1	1	1	1
FTSK-HTH	1	1	1	1
GGN	1	1	1	1
Glyco_tran_28_C	1	1	1	1
GNTR-HTH	1	1	1	1
HOP2	1	1	1	1
HPT	1	1	1	1
Hydant_A_N	1	1	1	1
Hydantoinase_A	1	1	1	1
ICP8OBfold	1	1	1	1
Lysozyme	1	1	1	1
MARCKS	1	1	1	1
MED26C	1	1	1	1
Metallopeptidase	1	1	1	1
MIP-T3	1	1	1	1
NACHT	1	1	1	1
NtrC-AAA	1	1	1	1
OmpA	1	1	1	1
PASTA	1	1	1	1
PBPB	1	1	1	1
PDZ	1	10	1	1
Peptidase-S8	1	1	1	1
PilZ	1	1	1	1
Polymerase	1	1	1	1
POLYSACPOLYMERASE	1	1	1	1
POZ	1	1	1	1
PspN_N	1	6	1	1
RADICAL-SAM	1	1	1	1
Rat1-Kem	1	1	1	1
REC	1	1	1	1
RNA-Helicase	1	1	1	1
Ruc-ZnR	1	1	1	1
RVT	1	1	1	1
SAM-methylase	1	1	1	1
SNF	1	1	1	1
Suz	1	1	1	1
Tail-fiber	1	1	1	1
TIP49-AAA	1	1	1	1
TIR	1	1	1	1
Tox-MCF	1	1	1	1
WXG	1	1	1	1
XpaC	1	1	1	1
