Species.orig	Species.q
[Clostridium] acidurici 9a	Gottschalkia acidurici 9a
[Clostridium] clariflavum DSM 19732	Hungateiclostridium clariflavum DSM 19732
Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305	Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305 = NCTC 7292
Bacillus weihenstephanensis KBAB4	Bacillus mycoides KBAB4
Bacillus mycoides	Bacillus pseudomycoides
Lactobacillus sp. WiKim39	Lactobacillus allii
Eubacterium limosum KIST612	Eubacterium callanderi
Bacillus anthracis	NA
Bacillus endophyticus	Bacillus filamentosus
Xanthomonas fuscans subsp. fuscans	Xanthomonas citri pv. fuscans
Xanthomonas citri subsp. citri	Xanthomonas citri pv. citri
Caulobacter crescentus CB15	Caulobacter vibrioides CB15
Caulobacter crescentus NA1000	Caulobacter vibrioides NA1000
Bacillus pumilus	Bacillus altitudinis
Chryseobacterium sp. IHB B 10212	Chryseobacterium glaciei
Actinoplanes sp. N902-109	NA
Bacillus subtilis KCTC 1028	Bacillus subtilis KCTC 1028 = ATCC 6051a
Bacillus sp.	Bacillus sp. BS34A
Planococcus maritimus	Planococcus sp. Y42
Terribacillus aidingensis	Terribacillus goriensis
Tenacibaculum sp. LPB0136	Tenacibaculum todarodis
[Eubacterium rectale] ATCC 33656	[Eubacterium] rectale ATCC 33656
[Clostridium] cellulolyticum H10	Ruminiclostridium cellulolyticum H10
Clostridium lentocellum DSM 5427	Cellulosilyticum lentocellum DSM 5427
Planococcus sp. L10.15	Planococcus versutus
Ruminiclostridium sp. KB18	Hungateiclostridiaceae bacterium KB18
Mycobacterium vaccae 95051	Mycolicibacterium vaccae 95051
Protochlamydia naegleriophila	Candidatus Protochlamydia naegleriophila
Campylobacter jejuni RM1221	NA
Campylobacter jejuni subsp. jejuni	NA
Desulfovibrio africanus str. Walvis Bay	Desulfocurvibacter africanus subsp. africanus str. Walvis Bay
Campylobacter hyointestinalis subsp. lawsonii	Campylobacter hyointestinalis subsp. lawsonii CCUG 27631
Pseudomonas pseudoalcaligenes	Pseudomonas oleovorans
Methylobacterium populi BJ001	Methylorubrum populi BJ001
Methylobacterium extorquens PA1	Methylorubrum extorquens PA1
Methylobacterium extorquens CM4	Methylorubrum extorquens CM4
Methylobacterium extorquens	Methylorubrum extorquens
Methylobacterium extorquens DM4	Methylorubrum extorquens AM1
Pseudomonas fluorescens	Pseudomonas yamanorum
Chlamydophila pneumoniae CWL029	Chlamydia pneumoniae CWL029
Chlamydophila pneumoniae AR39	Chlamydia pneumoniae AR39
Chlamydophila pneumoniae TW-183	Chlamydia pneumoniae TW-183
Chlamydophila pneumoniae LPCoLN	Chlamydia pneumoniae LPCoLN
Chlamydophila pecorum E58	Chlamydia pecorum E58
Pseudomonas fluorescens	Pseudomonas synxantha
Chlamydophila pneumoniae J138	Chlamydia pneumoniae J138
[Pseudomonas syringae] pv. tomato str. DC3000	Pseudomonas syringae pv. tomato str. DC3000
Chlamydophila caviae GPIC	Chlamydia caviae GPIC
Pseudomonas monteilii SB3078	NA
Pseudomonas mosselii SJ10	Pseudomonas soli
Pseudomonas sp. A3(2016)	Pseudomonas silesiensis
Myxococcus fulvus HW-1	Myxococcus macrosporus
Leptospira alstonii	Leptospira tipperaryensis
Kosakonia cowanii	Kosakonia cowanii JCM 10956 = DSM 18146
Sphingopyxis terrae NBRC 15098	Sphingopyxis terrae subsp. terrae NBRC 15098
Photorhabdus temperata subsp. thracensis	Photorhabdus thracensis
